Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-03-02 11:45:35 AM
-1.138322949,-54.88124847,-16.50299644,2.592952728,0.397018105,-0.200218216,-0.157120117,,,
-1.664390922,-55.43595505,-18.80747986,2.729601383,0.308167517,-0.23006703,-0.145133819,,,
-1.543594956,-54.51803589,-16.96216011,2.780637503,0.339453846,-0.226969466,-0.163931804,,,
-1.257318258,-53.5908165,-18.7410984,2.609222412,0.267847031,-0.264347017,-0.139224626,,,
-1.760120869,-52.53442001,-20.33799171,2.376921415,0.238385394,-0.224246457,-0.116870999,,,
-1.472234964,-51.50646973,-19.34260559,2.31945467,0.219137445,-0.288122624,-0.119914282,,,
-1.2700665,-50.29010773,-21.56208229,2.300126553,0.354603291,-0.275597304,-0.106674602,,,
-1.728287697,-50.12321854,-23.53751373,2.331892967,0.184707195,-0.164103389,-0.099071338,,,
-1.711258769,-49.87052155,-24.63871002,2.5363276,0.226719424,-0.157780603,-0.102940763,,,
-1.728720427,-49.89769363,-25.42347717,2.601019621,0.454507798,-0.117118195,-0.102307784,,,
-1.228010178,-49.49317932,-27.09541702,2.540733576,0.604137301,-0.214167342,-0.093769864,,,
-1.513219237,-48.99567795,-26.2806015,2.537812948,0.527580082,-0.370948821,-0.096566015,,,
-1.536283612,-48.31895447,-27.39670181,2.434300423,0.301121771,-0.391877562,-0.088853777,,,
-0.802067101,-46.92382813,-29.51553726,2.33029747,0.486961663,-0.324828655,-0.078951552,,,
-1.687215924,-45.6751976,-30.48081589,2.215527534,0.402838886,-0.369947582,-0.072685966,,,
-1.700640798,-45.29368591,-29.34879684,2.031039476,-0.001289162,-0.51673913,-0.0692035,,,
-1.120482326,-44.59932709,-31.43149185,1.992558837,-0.079766653,-0.367384225,-0.063393709,,,
-1.550866723,-42.80397415,-32.81881332,2.028801203,0.065617666,-0.200529143,-0.061818238,,,
-1.668540716,-42.74255753,-34.73928452,1.991509438,0.00789596,-0.256041557,-0.057327302,,,
-1.135569692,-41.76859665,-37.46335602,2.131814241,0.229099393,-0.251565695,-0.056903985,,,
