Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
-0.071626097,-69.72982788,-19.95783424,5.851931572,-0.139012918,-0.312076807,,,,
-0.297314942,-70.04390717,-18.90725899,5.8391366,-0.119841203,-0.252222329,,,,
-0.294454485,-70.15547943,-17.6370182,5.745779514,-0.089467756,-0.239863902,,,,
-0.030701153,-69.5475769,-17.92550659,5.65758419,0.035977133,-0.259592205,,,,
-0.320120662,-69.51465607,-18.80471992,5.643753052,-0.063815631,-0.250593364,,,,
-0.059258007,-69.12428284,-18.61567688,5.656441212,0.044563383,-0.294954032,,,,
-0.279747635,-69.03135681,-18.72809219,5.637971401,-0.077854328,-0.28544113,,,,
-0.315556794,-68.78964996,-19.78727531,5.665469646,-0.102159724,-0.295834959,,,,
-0.2537058,-68.79476166,-20.29076767,5.747398376,-0.060602468,-0.2952196,,,,
-0.136345461,-68.78792572,-21.03466797,5.766086578,-0.074643746,-0.291464418,,,,
-0.048943706,-68.63200378,-21.29020309,5.801609993,-0.064067222,-0.304837972,,,,
-0.439627111,-68.86811829,-21.42274094,5.859965324,-0.121853039,-0.335786402,,,,
-0.266555458,-68.82426453,-21.83592415,5.883173466,-0.177376285,-0.357305944,,,,
0.031368844,-68.91022491,-22.07630348,5.85666275,-0.161290109,-0.360302448,,,,
-0.173207909,-68.76716614,-20.72583008,5.820484161,-0.223651081,-0.357764125,,,,
-0.13790603,-68.7378006,-20.65980911,5.774085999,-0.215950027,-0.374186367,,,,
-0.270804048,-68.52093506,-21.02789688,5.761608124,-0.212075219,-0.353829801,,,,
-0.377349973,-68.32775116,-21.67063904,5.770977497,-0.300279051,-0.341566771,,,,
-0.124071516,-68.04666138,-22.22762489,5.797762394,-0.211229712,-0.343726307,,,,
-0.222895741,-68.04183197,-22.44031334,5.8249259,-0.296738416,-0.319948822,,,,
-0.215131775,-67.96777344,-22.91694832,5.820897102,-0.224023417,-0.323787212,,,,
-0.272989303,-68.02376556,-23.37420654,5.851368427,-0.229360029,-0.294608891,,,,
-0.371034324,-68.06404877,-23.03546524,5.889355659,-0.259523124,-0.301123261,,,,
-0.216926485,-68.10903168,-23.79262161,5.879182339,-0.197789729,-0.318192095,,,,
-0.198717847,-67.90969849,-24.14110756,5.905687809,-0.19782272,-0.310794324,,,,
-0.191127941,-68.14639282,-23.64762878,5.948781967,-0.147271961,-0.259526819,,,,
-0.381658226,-68.42375946,-24.59241676,5.988239765,-0.075452253,-0.244602859,,,,
-0.623230875,-68.79998016,-23.44889069,6.039955139,-0.125083551,-0.18948549,,,,
-0.387351662,-69.13150787,-22.95506287,6.027335644,-0.04825313,-0.220014036,,,,
